name,district,interests,age,longitude,latitude
Ng Wing Sze,Aegean Coast,Mahjong companion; Tea time conversation; Old songs karaoke,32,113.997375,22.378005
Ho Tsz Ho,Sun Tuen Mun Centre,Reading aloud; Park walk and chat; Phone and smartphone help,29,113.962128,22.384584
Chow Tsz Wai,The Waterfront,Photo sharing and memory talk; Calligraphy practice; Simple stretching session,27,114.160198,22.312428
Ng Yan Ting,Nam Shan Estate,Board games; Park walk and chat; Home visit companionship,23,114.163869,22.329517
Chow Ka Ching,Tseung Kwan O Plaza,Community centre activities; Reading aloud; Calligraphy practice,29,114.265279,22.307465
Lee Tsz Wai,Yiu Tung Estate,Home visit companionship; Reading aloud; Community centre activities; Park walk and chat,25,114.222405,22.2807
Ho Ka Ching,Ka Fuk Estate,Park walk and chat; Reading aloud; Mahjong companion; Simple stretching session,23,114.140334,22.488036
Yip Chi Ho,Shun On Estate,Home visit companionship; Park walk and chat; Chinese chess; Calligraphy practice,24,114.225931,22.321811
Wong Lok Yin,Central Park Towers II,Grocery escort; Simple stretching session; Park walk and chat,27,113.99322,22.454172
Chow Chi Ho,Siu On Court,Chinese chess; Board games; Phone and smartphone help,32,113.972887,22.390883
Chan Ka Ching,The Sherwood,Cooking together; Phone and smartphone help; Old songs karaoke,24,113.992544,22.416464
Tang Tsz Ho,Tak Long Estate,Calligraphy practice; Cooking together; Community centre activities,26,114.200213,22.321856
Ho Pak Hei,Mantin Heights,Park walk and chat; Board games; Photo sharing and memory talk,25,114.187653,22.312631
Lee Wing Sze,Kwai Chung Estate,Old songs karaoke; Tea time conversation; Calligraphy practice,31,114.131257,22.361096
Ho Pak Hei,Cheung Wang Estate,Simple stretching session; Community centre activities; Reading aloud; Park walk and chat,20,114.090111,22.362254
Ng Ka Ming,Chung Nga Court,Simple stretching session; Tea time conversation; Cooking together; Chinese chess,25,114.164985,22.465905
Wong Man Yi,Upper Wong Tai Sin Estate,Clinic escort; Phone and smartphone help; Tea time conversation,20,114.187123,22.335006
Ho Wai Man,Tong Ming Court,Home visit companionship; Old songs karaoke; Calligraphy practice,23,114.262194,22.301633
Chan Tsz Wai,Tin Yau Court,Calligraphy practice; Grocery escort; Board games,30,114.003009,22.452414
Lam Ka Ming,Caribbean Coast,Phone and smartphone help; Board games; Tea time conversation; Community centre activities,23,113.941995,22.288957
Leung Tsz Wai,Chai Wan Estate,Tea time conversation; Park walk and chat; Simple stretching session,20,114.241724,22.265005
Lau Ka Ming,Mayfair Gardens,Home visit companionship; Calligraphy practice; Simple stretching session,24,114.11498,22.351103
Ng Chi Ho,Tsui Ping South Estate,Board games; Phone and smartphone help; Clinic escort; Grocery escort; Mahjong companion,29,114.238428,22.307299
Cheung Wing Sze,King Shing Court,Phone and smartphone help; Park walk and chat; Mahjong companion; Home visit companionship,26,114.144011,22.486767
Lau Ka Ming,Lai Yan Court,Phone and smartphone help; Home visit companionship; Calligraphy practice,26,114.142129,22.34866
Ho Ka Ming,Po Ming Court,Calligraphy practice; Cooking together; Reading aloud,28,114.253973,22.303829
Ng Man Yi,Tin Shui (2) Estate,Home visit companionship; Clinic escort; Simple stretching session; Tea time conversation,24,114.009697,22.461842
Ng Wai Man,The Latitude,Community centre activities; Calligraphy practice; Phone and smartphone help,31,114.196224,22.332567
Yip Siu Tung,Upper Ngau Tau Kok Estate,Community centre activities; Mahjong companion; Park walk and chat; Photo sharing and memory talk,25,114.221905,22.316336
Yip Sze Wing,Tierra Verde,Simple stretching session; Park walk and chat; Board games,24,114.106751,22.364269
Lau Ka Ching,Pictorial Garden,Home visit companionship; Board games; Old songs karaoke,25,114.211238,22.389755
Ng Kwok Him,Fortune Estate,Tea time conversation; Grocery escort; Reading aloud,30,114.149633,22.329829
Tang Sze Wing,Lei Cheng Uk Estate,Simple stretching session; Home visit companionship; Phone and smartphone help,30,114.164933,22.341025
Wong Kwok Him,Hau Tak Estate,Calligraphy practice; Mahjong companion; Clinic escort,26,114.258754,22.323777
Lam Wing Sze,Oi Tung Estate,Tea time conversation; Phone and smartphone help; Mahjong companion,26,114.228433,22.282991
Cheung Sze Wing,Miami Beach Towers,Board games; Grocery escort; Photo sharing and memory talk,21,113.969179,22.36984
Cheung Man Yi,Kam Lung Court,Grocery escort; Cooking together; Mahjong companion,28,114.244839,22.43161
Cheung Sze Wing,Yat Nga Court,Board games; Community centre activities; Clinic escort; Mahjong companion,27,114.17108,22.435963
Lee Pak Hei,Shun On Estate,Tea time conversation; Phone and smartphone help; Reading aloud; Clinic escort; Cooking together,24,114.218384,22.326117
Ng Yan Ting,Cheung Sha Wan Estate,Phone and smartphone help; Cooking together; Reading aloud,23,114.15981,22.33168
Tang Yan Ting,Bayshore Towers,Tea time conversation; Reading aloud; Photo sharing and memory talk; Mahjong companion; Community centre activities,25,114.227958,22.431597
Lee Tsz Ho,Tai Wo Hau Estate,Photo sharing and memory talk; Tea time conversation; Reading aloud,23,114.129687,22.364498
Ho Chi Ho,Wonderland Villas,Clinic escort; Cooking together; Grocery escort; Phone and smartphone help,26,114.135537,22.356906
Ho Man Yi,Yee Ming Estate,Photo sharing and memory talk; Chinese chess; Clinic escort,22,114.263443,22.310071
Lee Wai Man,Fu Shan Estate,Phone and smartphone help; Board games; Simple stretching session,26,114.210687,22.335294
Leung Lok Yin,The Grandiose,Clinic escort; Grocery escort; Home visit companionship,27,114.268623,22.306984
Wong Wing Sze,Tsuen Tak Gardens,Park walk and chat; Reading aloud; Phone and smartphone help; Tea time conversation,30,114.107874,22.375231
Chow Sze Wing,Lower Wong Tai Sin (2) Estate,Simple stretching session; Chinese chess; Clinic escort; Reading aloud,26,114.186588,22.338057
Tang Yuk Ting,Lake Silver,Tea time conversation; Home visit companionship; Cooking together,21,114.247344,22.420664
Chow Wing Sze,Fuk Loi Estate,Clinic escort; Home visit companionship; Old songs karaoke; Cooking together,28,114.10737,22.379099
Leung Yan Ting,Yau Lai Estate,Park walk and chat; Reading aloud; Simple stretching session; Old songs karaoke,25,114.236275,22.297182
Yip Siu Tung,Tin Yan Estate,Calligraphy practice; Home visit companionship; Park walk and chat; Phone and smartphone help; Board games,23,113.989264,22.457789
Chow Wai Man,Sky Tower,Phone and smartphone help; Reading aloud; Grocery escort; Community centre activities,23,114.194626,22.326152
Ho Pak Hei,Lok Wah South Estate,Photo sharing and memory talk; Cooking together; Mahjong companion,28,114.217327,22.321774
Lee Ka Ming,Oi Tung Estate,Reading aloud; Park walk and chat; Mahjong companion,26,114.221586,22.273243
Ho Kwok Him,Bauhinia Garden,Cooking together; Phone and smartphone help; Reading aloud; Mahjong companion; Photo sharing and memory talk,23,114.26382,22.309786
Lau Yuk Ting,Fu Tai Estate,Reading aloud; Grocery escort; Photo sharing and memory talk; Chinese chess; Tea time conversation,28,113.980621,22.415143
Lau Siu Tung,YOHO Midtown,Tea time conversation; Grocery escort; Community centre activities; Chinese chess,25,114.034079,22.448815
Chow Chi Ho,Caribbean Coast,Community centre activities; Tea time conversation; Old songs karaoke,32,113.947522,22.292789
Chow Man Yi,Yuccie Square,Board games; Phone and smartphone help; Mahjong companion; Grocery escort; Clinic escort,31,114.029607,22.453839
Ho Tsz Wai,Glorious Garden,Grocery escort; Reading aloud; Simple stretching session,25,113.964933,22.379748
Wong Wai Man,Kwong Tin Estate,Board games; Park walk and chat; Grocery escort,29,114.245747,22.306609
Ng Chi Ho,Siu Hong Court,Old songs karaoke; Mahjong companion; Photo sharing and memory talk; Cooking together,24,113.983703,22.418104
Cheung Tsz Ho,Yuk Ming Court,Mahjong companion; Clinic escort; Cooking together,30,114.270831,22.310155
Chow Wai Man,Tsui Ning Garden,Calligraphy practice; Park walk and chat; Clinic escort,29,113.980439,22.381606
Tang Ho Yin,Broadview Court,Simple stretching session; Home visit companionship; Photo sharing and memory talk; Old songs karaoke,20,114.17183,22.235626
Cheung Pak Hei,Fu Keung Court,Old songs karaoke; Board games; Home visit companionship,20,114.191372,22.344303
Ho Tsz Ho,Kwai Luen Estate,Calligraphy practice; Community centre activities; Simple stretching session,30,114.1279,22.365715
Chow Lok Yin,Siu Sai Wan Estate,Old songs karaoke; Clinic escort; Park walk and chat; Phone and smartphone help; Simple stretching session,26,114.244722,22.258734
Lau Siu Tung,Carado Garden,Cooking together; Old songs karaoke; Park walk and chat; Tea time conversation,27,114.180946,22.362264
Lam Yiu Tung,Po Lam Estate,Park walk and chat; Cooking together; Clinic escort; Home visit companionship,25,114.260087,22.324774
Ng Chi Ho,Fu Ning Garden,Calligraphy practice; Board games; Grocery escort,25,114.273728,22.315088
Leung Wai Man,Tsing Yi Garden,Old songs karaoke; Tea time conversation; Park walk and chat,24,114.11117,22.3502
Chow Ho Yin,Rhine Garden,Grocery escort; Home visit companionship; Cooking together,23,114.062107,22.366466
Ho Ho Yin,The Reach,Home visit companionship; Mahjong companion; Tea time conversation; Calligraphy practice,19,114.034276,22.435407
Lam Yuk Ting,Lei Cheng Uk Estate,Tea time conversation; Mahjong companion; Chinese chess,30,114.160146,22.338279
Chow Tsz Ho,Tin Yan Estate,Calligraphy practice; Home visit companionship; Simple stretching session,24,113.993423,22.461257
Ng Hiu Lam,Park Island,Chinese chess; Grocery escort; Clinic escort,30,114.067552,22.354552
Lee Yuk Ting,Long Ping Estate,Park walk and chat; Photo sharing and memory talk; Grocery escort; Simple stretching session,22,114.029272,22.453783
Ng Chi Ho,Braemar Hill Mansion,Home visit companionship; Clinic escort; Calligraphy practice; Park walk and chat,25,114.201285,22.286519
Yip Ka Ching,Sha Kok Estate,Mahjong companion; Calligraphy practice; Phone and smartphone help; Reading aloud,33,114.191027,22.384837
Cheung Wai Man,Jubilee Garden,Photo sharing and memory talk; Board games; Community centre activities,23,114.201404,22.401526
Tang Wai Man,Choi Ha Estate,Clinic escort; Community centre activities; Home visit companionship; Simple stretching session,29,114.214491,22.329214
Ho Kwok Him,Tai Po Centre,Clinic escort; Mahjong companion; Home visit companionship; Park walk and chat,24,114.168599,22.459822
Lau Wai Man,Shek Kip Mei Estate,Clinic escort; Photo sharing and memory talk; Tea time conversation,25,114.160997,22.335196
Chan Chi Ho,Summit Terrace,Home visit companionship; Grocery escort; Board games,28,114.107988,22.368922
Wong Pak Hei,The Horizon,Cooking together; Park walk and chat; Reading aloud,24,114.208965,22.435793
Chow Wing Sze,Harbour Green,Old songs karaoke; Cooking together; Reading aloud; Home visit companionship; Chinese chess,26,114.159584,22.318471
Lau Yiu Tung,Tak Long Estate,Board games; Community centre activities; Mahjong companion,26,114.19892,22.336221
Lau Pak Hei,Yau Tong Estate,Board games; Calligraphy practice; Chinese chess,26,114.237562,22.292327
Chow Ka Ming,Mei Tung Estate,Reading aloud; Chinese chess; Park walk and chat; Simple stretching session,26,114.193896,22.339238
Wong Siu Tung,Tung Tau (2) Estate,Home visit companionship; Photo sharing and memory talk; Phone and smartphone help,21,114.197631,22.327878
Leung Pak Hei,Kam Fung Court,Calligraphy practice; Cooking together; Park walk and chat; Tea time conversation,25,114.21731,22.41563
Chow Pak Hei,Shin Ming Estate,Park walk and chat; Home visit companionship; Grocery escort,26,114.248198,22.306058
Ng Ho Yin,Kingston Terrace,Tea time conversation; Board games; Calligraphy practice,26,113.976527,22.39622
Wong Pak Hei,Leung King Estate,Reading aloud; Chinese chess; Grocery escort,27,113.95841,22.409187
Chow Tsz Ho,Nan Fung Sun Chuen,Clinic escort; Mahjong companion; Phone and smartphone help,26,114.206499,22.27689
Tang Tsz Ho,Tai Hing Estate,Chinese chess; Simple stretching session; Grocery escort,22,113.975449,22.399975
Lee Kwok Him,Choi Fook Estate,Clinic escort; Grocery escort; Tea time conversation,28,114.213879,22.323505
Lee Pak Hei,The Waterfront,Clinic escort; Calligraphy practice; Photo sharing and memory talk,28,114.158494,22.29785
Tang Yan Ting,Tsui Lai Garden,Park walk and chat; Photo sharing and memory talk; Community centre activities,22,114.122727,22.504743
Lam Ho Yin,Queen's Terrace,Clinic escort; Board games; Home visit companionship; Cooking together,32,114.150024,22.284021
Tang Wai Man,Yan On Estate,Old songs karaoke; Board games; Grocery escort; Calligraphy practice; Park walk and chat,26,114.230962,22.420838
Ng Ka Ming,Yat Nga Court,Reading aloud; Calligraphy practice; Grocery escort; Old songs karaoke,23,114.172603,22.439781
Chan Kwok Him,Prime View Garden,Board games; Cooking together; Clinic escort,29,113.984904,22.408351
Ng Siu Tung,Tai Wo Hau Estate,Home visit companionship; Calligraphy practice; Tea time conversation,27,114.121198,22.360522
Tang Pak Hei,Sky Tower,Old songs karaoke; Tea time conversation; Photo sharing and memory talk,28,114.185647,22.323518
Ho Ka Ching,Rhythm Garden,Cooking together; Photo sharing and memory talk; Mahjong companion,27,114.202671,22.341683
Lau Tsz Wai,Chelsea Court,Park walk and chat; Grocery escort; Community centre activities,25,114.148986,22.268715
Chow Tsz Wai,Tai On Building,Old songs karaoke; Community centre activities; Cooking together,22,114.226502,22.278369
Lee Wing Sze,Mountain Shore,Mahjong companion; Photo sharing and memory talk; Cooking together; Chinese chess,33,114.217232,22.412318
Leung Yuk Ting,Hanford Garden,Old songs karaoke; Reading aloud; Phone and smartphone help,22,113.972623,22.381653
Leung Pak Hei,Po Ming Court,Home visit companionship; Tea time conversation; Park walk and chat; Mahjong companion,25,114.253438,22.311981
Ho Chi Ho,Grand Promenade,Mahjong companion; Clinic escort; Chinese chess; Old songs karaoke; Photo sharing and memory talk,21,114.216905,22.283932
Yip Chi Ho,Hong Lok Yuen,Community centre activities; Home visit companionship; Photo sharing and memory talk,30,114.150424,22.465764
Lau Ka Ming,Yuk Ming Court,Home visit companionship; Cooking together; Clinic escort; Mahjong companion,23,114.275429,22.322365
Lee Siu Tung,Bayview Garden,Park walk and chat; Board games; Cooking together; Phone and smartphone help,21,114.097493,22.375575
Lee Kwok Him,Cheung Wang Estate,Chinese chess; Park walk and chat; Phone and smartphone help; Photo sharing and memory talk; Board games,20,114.097266,22.364297
Wong Ho Yin,Tin Yat Estate,Chinese chess; Photo sharing and memory talk; Calligraphy practice,30,114.000268,22.464743
Chan Ka Ming,Upper Ngau Tau Kok Estate,Chinese chess; Cooking together; Grocery escort,28,114.209723,22.32729
Tang Lok Yin,Yuk Ming Court,Photo sharing and memory talk; Clinic escort; Old songs karaoke,33,114.263583,22.307866
Lee Wing Sze,Fung Wah Estate,Mahjong companion; Home visit companionship; Grocery escort; Photo sharing and memory talk,23,114.234799,22.266205
Tang Kwok Him,Fu Shan Estate,Cooking together; Clinic escort; Mahjong companion; Home visit companionship,28,114.201846,22.35038
Ho Yiu Tung,Ocean Pride,Tea time conversation; Chinese chess; Cooking together,28,114.106142,22.368613
Tang Wai Man,Choi Tak Estate,Clinic escort; Phone and smartphone help; Tea time conversation; Home visit companionship; Simple stretching session,22,114.216699,22.329401
Chow Hiu Lam,Siu Shan Court,Calligraphy practice; Photo sharing and memory talk; Chinese chess; Old songs karaoke,25,113.970181,22.377018
Cheung Man Yi,Tin Shui (1) Estate,Cooking together; Park walk and chat; Board games,23,114.00519,22.450411
Cheung Ka Ming,Mountain Shore,Photo sharing and memory talk; Simple stretching session; Tea time conversation,21,114.221586,22.41577
Tang Wing Sze,Cheung Lung Wai Estate,Tea time conversation; Board games; Phone and smartphone help,20,114.124869,22.495871
Lam Pak Hei,Choi Tak Estate,Chinese chess; Park walk and chat; Clinic escort,23,114.211858,22.324931
Chan Hiu Lam,Po Lam Estate,Calligraphy practice; Mahjong companion; Grocery escort,28,114.25994,22.331953
Chan Hiu Lam,The Regent,Old songs karaoke; Chinese chess; Reading aloud,26,114.173304,22.440146
Yip Tsz Ho,Kingsford Terrace,Phone and smartphone help; Park walk and chat; Chinese chess; Reading aloud,22,114.210253,22.345147
Tang Ka Ming,Long Ping Estate,Park walk and chat; Community centre activities; Clinic escort,22,114.020101,22.453308
Yip Wai Man,Sun Tin Wai Estate,Photo sharing and memory talk; Tea time conversation; Reading aloud,29,114.193466,22.378024
Leung Hiu Lam,Tai Hing Gardens,Photo sharing and memory talk; Home visit companionship; Calligraphy practice,26,113.971026,22.401111
Lau Ho Yin,Uptown Plaza,Photo sharing and memory talk; Chinese chess; Tea time conversation,25,114.163452,22.442549
Ho Sze Wing,Tin Ma Court,Cooking together; Home visit companionship; Board games; Grocery escort; Reading aloud,24,114.183496,22.349438
Lee Wai Man,Whampoa Gardens,Phone and smartphone help; Photo sharing and memory talk; Simple stretching session,32,114.197521,22.311886
Cheung Tsz Wai,Festival City,Phone and smartphone help; Clinic escort; Tea time conversation,23,114.177592,22.373328
Yip Yuk Ting,May Shing Court,Reading aloud; Community centre activities; Home visit companionship,33,114.181148,22.376372
Wong Ka Ming,Ching Wah Court,Photo sharing and memory talk; Board games; Cooking together,25,114.102248,22.356467
Yip Wai Man,Lam Tin Estate,Cooking together; Park walk and chat; Grocery escort; Photo sharing and memory talk,27,114.229341,22.318814
Tang Lok Yin,Fu Cheong Estate,Calligraphy practice; Reading aloud; Grocery escort,23,114.161325,22.330301
Cheung Wai Man,Grand YOHO,Phone and smartphone help; Simple stretching session; Tea time conversation; Cooking together,22,114.033561,22.446804
Lee Yiu Tung,Lee On Estate,Board games; Photo sharing and memory talk; Mahjong companion,27,114.238761,22.422431
Leung Chi Ho,Yan Tin Estate,Cooking together; Home visit companionship; Tea time conversation,29,113.983395,22.420493
Lam Lok Yin,Yu Ming Court,Chinese chess; Cooking together; Clinic escort,26,114.258819,22.325
Wong Ka Ming,Tung Wui Estate,Board games; Tea time conversation; Cooking together; Home visit companionship,30,114.187294,22.337918
Chow Tsz Ho,The Sherwood,Clinic escort; Park walk and chat; Calligraphy practice; Home visit companionship,20,113.98684,22.422106
Ng Wai Man,Tsui Ping South Estate,Simple stretching session; Mahjong companion; Clinic escort,28,114.22574,22.314918
Leung Yuk Ting,Classical Gardens,Simple stretching session; Photo sharing and memory talk; Board games; Grocery escort,25,114.165069,22.434553
Tang Kwok Him,Ka Fuk Estate,Park walk and chat; Simple stretching session; Home visit companionship; Cooking together,23,114.137848,22.492291
Wong Man Yi,Mayfair Gardens,Mahjong companion; Grocery escort; Simple stretching session,31,114.113775,22.341016
Wong Yan Ting,Lung Poon Court,Clinic escort; Chinese chess; Old songs karaoke,26,114.20063,22.347815
Lam Ho Yin,Tin Shui (2) Estate,Board games; Park walk and chat; Grocery escort; Photo sharing and memory talk,24,114.007415,22.461458
Ng Siu Tung,Kingswood Villas,Phone and smartphone help; Simple stretching session; Mahjong companion,34,114.001559,22.45893
Chan Yuk Ting,Chung Nga Court,Mahjong companion; Board games; Park walk and chat,23,114.163123,22.454766
Lee Lok Yin,The Sherwood,Cooking together; Old songs karaoke; Chinese chess,27,113.987503,22.414292
Chow Tsz Wai,Bayview Garden,Home visit companionship; Community centre activities; Cooking together; Reading aloud; Simple stretching session,31,114.096966,22.364987
Lee Pak Hei,Island Resort,Clinic escort; Grocery escort; Photo sharing and memory talk,26,114.242901,22.259958
Leung Pak Hei,Po Nga Court,Park walk and chat; Mahjong companion; Photo sharing and memory talk,26,114.158362,22.447385
Lam Yiu Tung,Hin Keng Estate,Reading aloud; Chinese chess; Community centre activities,29,114.16552,22.369812
Lam Chi Ho,Shek Yam Estate,Chinese chess; Phone and smartphone help; Cooking together; Grocery escort; Reading aloud,22,114.144686,22.374562
Tang Chi Ho,Yuk Ming Court,Home visit companionship; Park walk and chat; Chinese chess; Simple stretching session,27,114.263242,22.309625
Ng Sze Wing,Oceanaire,Park walk and chat; Cooking together; Board games,21,114.223826,22.415923
Ng Pak Hei,Choi Hing Court,Park walk and chat; Community centre activities; Tea time conversation; Phone and smartphone help,29,114.208665,22.331731
Wong Yiu Tung,The Pacifica,Simple stretching session; Reading aloud; Board games; Clinic escort,23,114.155178,22.329621
Chow Hiu Lam,Fung Tak Estate,Chinese chess; Photo sharing and memory talk; Simple stretching session,27,114.204892,22.34938
Chow Lok Yin,Tin Chak Estate,Phone and smartphone help; Board games; Tea time conversation; Grocery escort; Calligraphy practice,24,113.990955,22.465177
Chan Yuk Ting,Whampoa Estate,Board games; Mahjong companion; Reading aloud; Tea time conversation,32,114.188065,22.313309
Lee Man Yi,Yan Tin Estate,Tea time conversation; Phone and smartphone help; Home visit companionship,25,113.973171,22.4211
Leung Chi Ho,Sky Tower,Board games; Cooking together; Reading aloud,20,114.185226,22.330756
Chow Siu Tung,Grandeur Terrace,Tea time conversation; Simple stretching session; Board games,31,114.005376,22.466548
Chan Kwok Him,Lei Muk Shue (1) Estate,Chinese chess; Cooking together; Simple stretching session,32,114.141278,22.386364
Chan Man Yi,Kingston Terrace,Clinic escort; Grocery escort; Park walk and chat,23,113.985568,22.408752
Ho Ka Ming,Cheung Hong Estate,Community centre activities; Park walk and chat; Mahjong companion; Reading aloud,24,114.110682,22.355839
Chan Lok Yin,Heng On Estate,Phone and smartphone help; Park walk and chat; Cooking together,20,114.234223,22.419364
Tang Sze Wing,Manhattan Hill,Photo sharing and memory talk; Board games; Community centre activities,31,114.138546,22.330323
Lau Chi Ho,Aegean Coast,Board games; Cooking together; Tea time conversation,23,113.989119,22.373143
Yip Tsz Ho,South Wave Court,Tea time conversation; Calligraphy practice; Chinese chess; Park walk and chat,31,114.159055,22.241101
Wong Kwok Him,Fanling Town Center,Tea time conversation; Board games; Simple stretching session; Clinic escort; Calligraphy practice,20,114.143314,22.496592
Cheung Kwok Him,Yuk Ming Court,Chinese chess; Board games; Tea time conversation,24,114.2618,22.311234
Lau Man Yi,Sau Mau Ping Estate,Photo sharing and memory talk; Calligraphy practice; Park walk and chat,24,114.226454,22.312618
Wong Yan Ting,New Kwai Fong Gardens,Community centre activities; Mahjong companion; Board games; Photo sharing and memory talk,24,114.121136,22.36308
Wong Tsz Wai,Kai Tak Garden,Old songs karaoke; Reading aloud; Grocery escort; Tea time conversation,25,114.200763,22.330541
Lau Lok Yin,Banyan Garden,Phone and smartphone help; Cooking together; Community centre activities; Park walk and chat,33,114.149074,22.336085
Lee Lok Yin,Chak On Estate,Community centre activities; Chinese chess; Simple stretching session; Tea time conversation,31,114.165172,22.347817
Lee Lok Yin,Ko Yee Estate,Grocery escort; Mahjong companion; Calligraphy practice,27,114.235216,22.291774
Wong Siu Tung,Classical Gardens,Chinese chess; Grocery escort; Home visit companionship,19,114.154665,22.448267
Yip Ho Yin,Provident Centre,Clinic escort; Park walk and chat; Phone and smartphone help; Photo sharing and memory talk,24,114.201857,22.290087
Cheung Wai Man,Tin Shing Court,Old songs karaoke; Grocery escort; Mahjong companion; Tea time conversation,32,114.005456,22.450561
Cheung Yuk Ting,Yu Ming Court,Board games; Mahjong companion; Tea time conversation,30,114.27226,22.322222
Yip Wai Man,Yau Tong Estate,Chinese chess; Reading aloud; Photo sharing and memory talk,32,114.240829,22.294247
Tang Kwok Him,Ching Ho Estate,Park walk and chat; Mahjong companion; Board games; Chinese chess,27,114.119324,22.49489
Lee Tsz Wai,Wu King Estate,Reading aloud; Clinic escort; Mahjong companion,28,113.961517,22.369458
Lee Kwok Him,Laguna City,Home visit companionship; Phone and smartphone help; Board games; Old songs karaoke,28,114.230512,22.312663
Lam Pak Hei,Yuk Ming Court,Clinic escort; Park walk and chat; Calligraphy practice,21,114.274279,22.310032
Lee Sze Wing,Kin Sang Estate,Home visit companionship; Grocery escort; Clinic escort; Park walk and chat,29,113.978211,22.411756
Lee Kwok Him,Sam Shing Estate,Board games; Tea time conversation; Reading aloud,21,113.985844,22.376446
Chan Kwok Him,The Latitude,Board games; Phone and smartphone help; Clinic escort; Calligraphy practice; Tea time conversation,29,114.197198,22.34143
Chan Ka Ching,Lai Tak Tsuen,Chinese chess; Grocery escort; Community centre activities,27,114.199218,22.282394
Lau Ka Ming,Grand Del Sol,Clinic escort; Old songs karaoke; Tea time conversation; Phone and smartphone help,29,114.038117,22.445849
Yip Ho Yin,Kam Fung Court,Clinic escort; Grocery escort; Board games,24,114.228981,22.419754
Yip Ka Ching,Kwai Luen Estate,Grocery escort; Photo sharing and memory talk; Tea time conversation; Park walk and chat,26,114.124432,22.355908
Cheung Sze Wing,Choi Po Court,Reading aloud; Home visit companionship; Mahjong companion; Chinese chess,25,114.128628,22.503816
Ng Wing Sze,Jat Min Chuen,Old songs karaoke; Clinic escort; Home visit companionship,23,114.18434,22.369081
Wong Hiu Lam,Tin Ping Estate,Community centre activities; Tea time conversation; Home visit companionship; Park walk and chat,27,114.139954,22.503104
Ng Ho Yin,Cheung Wah Estate,Tea time conversation; Community centre activities; Park walk and chat,25,114.134897,22.490705
Lau Yuk Ting,Lok Wah South Estate,Clinic escort; Park walk and chat; Board games,25,114.216718,22.318431
Lau Lok Yin,Cheung Lung Wai Estate,Home visit companionship; Phone and smartphone help; Grocery escort,27,114.122798,22.489528
Yip Ka Ming,Kam Lung Court,Calligraphy practice; Simple stretching session; Reading aloud; Phone and smartphone help,30,114.243783,22.419598
Ng Hiu Lam,Ping Yan Court,Reading aloud; Home visit companionship; Phone and smartphone help; Simple stretching session,25,113.997727,22.4455
Wong Ho Yin,Po Ming Court,Tea time conversation; Clinic escort; Park walk and chat,25,114.257928,22.31445
Chow Yan Ting,Summit Terrace,Park walk and chat; Board games; Home visit companionship,23,114.098045,22.379512
Ng Wing Sze,Goodview Garden,Calligraphy practice; Community centre activities; Photo sharing and memory talk,32,113.965933,22.382454
Chow Wing Sze,The Sherwood,Tea time conversation; Board games; Park walk and chat,23,113.985538,22.414214
Cheung Tsz Wai,Siu Hin Court,Phone and smartphone help; Mahjong companion; Park walk and chat; Home visit companionship,20,113.967354,22.411074
Ho Chi Ho,Tak Long Estate,Grocery escort; Cooking together; Park walk and chat; Photo sharing and memory talk; Board games,25,114.20532,22.32938
Lee Kwok Him,Tai On Building,Mahjong companion; Photo sharing and memory talk; Board games; Chinese chess; Grocery escort,28,114.22071,22.275843
Lau Tsz Wai,Metro City,Mahjong companion; Chinese chess; Tea time conversation,21,114.256779,22.319422
Lam Pak Hei,Choi Yuen Estate,Mahjong companion; Phone and smartphone help; Board games; Photo sharing and memory talk,25,114.133288,22.502982
Ho Wai Man,Tai Hing Estate,Community centre activities; Reading aloud; Park walk and chat; Old songs karaoke; Phone and smartphone help,21,113.96744,22.407135
Chow Kwok Him,Cheong Shing Court,Calligraphy practice; Park walk and chat; Mahjong companion; Tea time conversation,26,114.137931,22.480351
Lam Ho Yin,Royal Peninsula,Park walk and chat; Old songs karaoke; Clinic escort,20,114.183412,22.297589
Ho Yiu Tung,Ocean Pride,Mahjong companion; Tea time conversation; Simple stretching session; Home visit companionship; Grocery escort,18,114.11015,22.370864
Lee Ka Ching,Oi Tung Estate,Clinic escort; Mahjong companion; Community centre activities; Photo sharing and memory talk,30,114.234276,22.286199
Yip Chi Ho,Rhythm Garden,Old songs karaoke; Chinese chess; Reading aloud,23,114.201861,22.332627
Cheung Ho Yin,Long Ping Estate,Chinese chess; Clinic escort; Tea time conversation; Board games; Home visit companionship,26,114.031342,22.454693
Wong Ka Ching,Laguna City,Mahjong companion; Old songs karaoke; Grocery escort; Park walk and chat,32,114.223454,22.298902
Ho Wing Sze,Sea Crest Villa,Tea time conversation; Simple stretching session; Board games; Phone and smartphone help,22,114.037033,22.287383
Ho Tsz Ho,East Point City,Simple stretching session; Old songs karaoke; Park walk and chat,23,114.271064,22.318819
Chan Siu Tung,Luk Yeung Sun Chuen,Board games; Photo sharing and memory talk; Chinese chess,27,114.120353,22.375235
Cheung Siu Tung,Hong Nga Court,Chinese chess; Board games; Park walk and chat; Mahjong companion,19,114.238623,22.303021
Tang Pak Hei,Hong Nga Court,Clinic escort; Photo sharing and memory talk; Reading aloud; Tea time conversation; Community centre activities,27,114.238389,22.298636
Lam Ka Ming,Choi Ming Court,Photo sharing and memory talk; Home visit companionship; Cooking together; Reading aloud,21,114.261507,22.314203
